GLOBALEVENTID,SQLDATE,Actor1CountryCode,Actor2CountryCode,EventCode,EventRootCode,GoldsteinScale,AvgTone,SOURCEURL,date,sample_type,event_label
1026362304,20220203,USA,,130,13,-4.4,-2.65625,https://www.azcentral.com/story/news/politics/2022/01/10/tennessee-republicans-plan-split-nashville-5th-congressional-district/9160519002/,2022-02-03,regular,
1026480491,20220203,USA,,1712,17,-9.2,-2.9011786038078,https://www.msn.com/en-us/weather/topstories/growers-across-central-florida-still-assessing-damage-to-crops-from-weekend-freeze/ar-AATrvfM,2022-02-03,regular,
1082677303,20220131,,GBR,173,17,-5.0,-5.5944055944056,https://www.newsandstar.co.uk/news/23285538.carlisle-sex-offender-bought-teens-booze-made-sexual-suggestions/,2022-01-31,regular,
1026410027,20220203,GBR,,1821,18,-9.0,-5.91446769790719,https://www.dailymail.co.uk/news/article-10471697/Ex-Met-Police-chief-superintendent-says-Cressida-Dick-deserved-public-dressing-down.html,2022-02-03,regular,
1025981594,20220201,GBR,GBR,163,16,-8.0,-1.55038759689923,https://www.20minutes.fr/monde/3226907-20220201-conflit-ukraine-russie-visite-kiev-mardi-premier-ministre-britannique-boris-johnson,2022-02-01,regular,
1026225980,20220202,USA,,173,17,-5.0,-1.57551204141346,https://news.yahoo.com/pennsylvania-doctor-leg-amputated-sues-083411697.html,2022-02-02,regular,
1026156689,20220202,USA,,173,17,-5.0,-5.54899645808736,https://www.voanews.com/a/police-arrest-man-in-colorado-over-alleged-threats-to-ucla-/6422816.html,2022-02-02,regular,
1026023008,20220201,RUS,UKR,160,16,-4.0,-5.04,https://www.kurir.rs/planeta/3862093/burna-sednica-saveta-bezbednosti-o-ukrajini,2022-02-01,regular,
1026898013,20220206,BWA,USA,100,10,-5.0,-1.29032258064516,https://news.thevoicebw.com/has-sugar-tax-led-to-sweet-success-2/,2022-02-06,regular,
1026725589,20220205,USA,POL,154,15,-7.2,3.0,https://www.msn.com/en-us/news/us/250-iowa-national-guard-soldiers-part-of-routine-deployment-in-europe-amid-russian-tensions/ar-AATtFxD,2022-02-05,regular,
1026198339,20220202,GBR,UKR,138,13,-7.0,1.06761565836299,https://www.cotidianul.ro/blinken-lavrov-consecinte-severe/,2022-02-02,regular,
1026109895,20220201,RUS,,138,13,-7.0,-0.81466395112016,https://www.romaniatv.net/klaus-iohannis-a-discutat-cu-presedintele-ucrainei-despre-criza-din-regiune-sunt-inacceptabile-incercarile-de-recreare-a-unor-sfere-de-influenta_6198703.html,2022-02-01,regular,
1026864855,20220206,RUS,UKR,172,17,-5.0,-1.70940170940171,https://www.tvp.info/58356967/zagrozenie-na-wschodzie-niemcy-rozwazaja-wyslanie-dodatkowych-wojsk-na-litwe,2022-02-06,regular,
1026555334,20220204,CHN,,160,16,-4.0,-8.41750841750842,https://www.smh.com.au/business/markets/wall-street-s-big-bet-on-china-is-going-all-wrong-20220131-p59sg3.html,2022-02-04,regular,
1025921816,20220131,KOR,JPN,141,14,-6.5,-2.74725274725275,https://www.senenews.com/actualites/international/les-mines-de-sado-ravivent-les-tensions-entre-le-japon-et-la-coree-du-sud_384672.html,2022-01-31,regular,
1026904058,20220206,USA,,180,18,-9.0,3.79746835443038,https://www.greekherald.com/news/272272279/electromagnetic-aircraft-launch-system-to-bolster-us-allies-global-deterrence-posture-report,2022-02-06,regular,
1026728690,20220205,USA,,180,18,-9.0,-8.70279146141215,https://www.nvdaily.com/nvdaily/evidence-called-into-question-in-warren-county-sexual-assault-case/article_8987d799-f5cc-5eef-8d39-70b7402d5815.html,2022-02-05,regular,
1025807712,20220131,USA,,141,14,-6.5,-2.86320254506893,https://www.msn.com/en-us/news/crime/ganim-suspends-officers-investigating-lauren-smith-fields-brenda-lee-rawls-deaths/ar-AATjb3Z,2022-01-31,regular,
1026330581,20220202,MEX,USA,161,16,-4.0,-3.27102803738318,https://www.telemundodenver.com/tag/consulado-de-mexico-en-denver/,2022-02-02,regular,
1026147512,20220201,USA,,160,16,-4.0,-9.48905109489051,https://www.gwinnettdailypost.com/news/chicago-police-announce-hate-crime-charges-filed-in-weekend-synagogue-vandalism/article_d3c3f224-bd92-5462-8814-dc7566f2869c.html,2022-02-01,regular,
1025931780,20220131,,USA,173,17,-5.0,-7.56756756756757,https://www.fox13news.com/news/florida-department-of-law-enforcement-makes-arrest-in-temple-terrace,2022-01-31,regular,
1025809632,20220131,RUS,,154,15,-7.2,-1.82291666666666,https://www.rferl.org/a/canada-ukraine-russia-border/31679010.html,2022-01-31,regular,
1025992160,20220201,USA,,182,18,-9.5,-10.9677419354839,http://www.msn.com/en-us/news/crime/federal-prisons-on-lockdown-nationwide-after-two-inmates-in-texas-killed/ar-AATllDw,2022-02-01,regular,
1026171645,20220202,,USA,173,17,-5.0,-7.28682170542636,https://www.thehour.com/news/article/Louisiana-governor-denies-he-delayed-probe-in-16823775.php,2022-02-02,regular,
1026889319,20220206,RUS,UKR,172,17,-5.0,-2.21789883268482,https://www.bankingnews.gr/index.php?id=609769,2022-02-06,regular,
1026144514,20220201,USA,USA,100,10,-5.0,-7.72727272727272,https://www.sfgate.com/news/article/Judge-rejects-blocking-Indiana-online-school-16823360.php,2022-02-01,regular,
1025981734,20220201,KOR,USA,130,13,-4.4,0.47846889952153,https://zonapriangan.pikiran-rakyat.com/internasional/pr-463618574/korea-utara-meningkatkan-kemampuan-militer-tes-rudal-terbesar-terkonfirmasi-akurasinya,2022-02-01,regular,
1026522570,20220203,,CHN,180,18,-9.0,-2.27057710501419,https://www.bizpacreview.com/2022/02/03/reporter-puts-psaki-on-the-spot-about-optics-of-sending-americans-covid-tests-labeled-made-in-china-1196529/,2022-02-03,regular,
1031432107,20220131,,USA,173,17,-5.0,-4.28497302730431,https://news.yahoo.com/analysts-navy-bribery-trial-expose-163337681.html,2022-01-31,regular,
1026460731,20220203,DEU,,172,17,-5.0,-2.710027100271,https://24tv.ua/ru/zakrojut-korpunkt-deutsche-welle-rossii-hotjat-novosti-rossii_n1858770,2022-02-03,regular,
1026709935,20220205,,FRA,173,17,-5.0,-4.76190476190476,https://www.nola.com/news/crime_police/article_b6822d86-85fe-11ec-ab7f-13c17c649030.html,2022-02-05,regular,
1026141083,20220201,USA,BLR,100,10,-5.0,-5.09828788839568,https://www.dailymail.co.uk/news/article-10465611/Boris-mocked-East-West-Bidens-spokeswoman-makes-ambushed-cake-gag.html,2022-02-01,regular,
1026722053,20220205,USA,,1053,10,-5.0,-2.60416666666667,https://www.ruidosonews.com/story/news/local/2022/02/03/new-mexico-groups-pressure-biden-administration-crack-down-oil-and-gas-pollution/9241253002/,2022-02-05,regular,
1026433924,20220203,USA,,180,18,-9.0,-0.42662116040956,https://www.msn.com/en-us/news/us/dean-left-missouri-school-investigated-for-abuse-now-he-s-at-another-unlicensed-school/ar-AATqGA4,2022-02-03,regular,
1026271853,20220202,USA,,130,13,-4.4,-4.3859649122807,https://indiancountrytoday.com/the-press-pool/dropout-rates-for-montana-native-and-rural-schools-rose-in-2021,2022-02-02,regular,
1026180308,20220202,,USA,100,10,-5.0,-1.15874855156431,https://www.techdirt.com/articles/20190203/11584641518/federal-court-approves-reforms-targeting-chicago-police-department.shtml,2022-02-02,regular,
1025800758,20220131,USA,,180,18,-9.0,-4.33333333333333,https://www.digitalspy.com/tv/a38913891/trigger-point-episode-2-spoilers/,2022-01-31,regular,
1026352499,20220203,RUS,,130,13,-4.4,-1.28755364806867,https://www.producer.com/market_update/north-american-grain-oilseed-review-canola-mostly-higher-after-early-losses/,2022-02-03,regular,
1026350259,20220203,RUS,POL,100,10,-5.0,-2.93103448275862,https://diariodeavisos.elespanol.com/2022/02/guerra-y-paz/,2022-02-03,regular,
1026654407,20220204,USA,,173,17,-5.0,-6.63998231957371,https://www.sandiegouniontribune.com/news/nation-world/story/2022-02-04/2-miami-men-get-prison-time-for-stealing-medical-ventilators,2022-02-04,regular,
1026695138,20220204,USA,,173,17,-5.0,-5.2863436123348,https://www.wdef.com/nashville-d-a-issues-statement-on-pinkston-vs-wamp-accusations/,2022-02-04,regular,
1026560870,20220204,USA,,141,14,-6.5,-3.39425587467363,https://www.idsnews.com/article/2022/02/bloomington-climate-groups-pressure-iu-to-divest-from-fossil-fuels-create-action-plan,2022-02-04,regular,
1026665705,20220204,UKR,RUS,164,16,-7.0,-3.85470719051149,https://www.businessinsider.com/russias-strategy-of-disruption-is-much-bigger-than-ukraine-2022-2,2022-02-04,regular,
1026885337,20220206,RUS,,164,16,-7.0,-2.79329608938547,https://www.ksta.de/politik/newsblog-lambrecht-lehnt-waffenlieferung-an-ukraine-weiter-ab--39404154,2022-02-06,regular,
1026615066,20220204,,USA,173,17,-5.0,-5.08474576271186,https://www.jhnewsandguide.com/news/cops_courts/local/meth-production-case-heads-to-trial/article_2fb9d008-d396-5517-85b7-b29c201bcb72.html,2022-02-04,regular,
1026140844,20220201,USA,,172,17,-5.0,0.5599104143337,https://keyw.com/cant-get-pregnant-emotions-affirmations/,2022-02-01,regular,
1026543124,20220204,USA,USA,202,20,-10.0,-6.74157303370787,https://www.latimes.com/california/story/2022-02-03/federal-authoritie-charge-former-ucla-lecturer-with-threats,2022-02-04,regular,
1026276008,20220202,GBR,CHN,163,16,-8.0,-2.95081967213115,https://www.ittefaq.com.bd/488592/%E0%A6%AA%E0%A7%81%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%B6%E0%A6%BF-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A6%95%E0%A7%8B%E0%A6%A8-%E0%A6%A6%E0%A6%BF%E0%A6%95%E0%A7%87%C2%A0,2022-02-02,regular,
1026754897,20220205,PHL,RUS,182,18,-9.5,-1.67141236659954,https://www.chron.com/news/article/Fire-hits-Russian-Embassy-in-Manila-employees-16833805.php,2022-02-05,regular,
1026112589,20220201,,RUS,160,16,-4.0,-2.3993144815767,https://www.15min.lt/verslas/naujiena/finansai/belaruskalij-trasu-tranzitas-nutruko-kiek-praras-lietuva-ir-baltarusija-662-1636256,2022-02-01,regular,
