GLOBALEVENTID,SQLDATE,Actor1CountryCode,Actor2CountryCode,EventCode,EventRootCode,GoldsteinScale,AvgTone,SOURCEURL,date,sample_type,event_label
1172640612,20240429,AFR,GBR,174,17,-5.0,-5.97938144329897,https://www.indiatoday.in/world/story/uk-mp-tim-loughton-detained-deported-from-african-nation-as-direct-consequence-of-chinese-sanctions-2532885-2024-04-29,2024-04-29,regular,
1172674216,20240429,UKR,RUS,1384,13,-7.0,-1.16959064327486,https://eng.obozrevatel.com/section-war/news-four-battalions-of-chechens-arrived-at-a-distance-of-150-200-km-from-the-border-with-sumy-region-is-there-a-threat-to-ukraine-29-04-2024.html,2024-04-29,regular,
1173081474,20240501,USA,,105,10,-5.0,-9.16808149405774,https://www.wokv.com/news/local/students-democratic-society-protest-war-israel-university-north-florida-campus/YYBDVRT4GZDPTJ3RBXWJBXLTXU/,2024-05-01,regular,
1172842901,20240430,,USA,133,13,-5.8,-5.51643192488263,https://www.mercercluster.com/article/2024/04/rights-to-protest,2024-04-30,regular,
1173690420,20240504,,USA,100,10,-5.0,-2.73972602739727,https://www.fox32chicago.com/news/chicago-mayor-details-why-he-didnt-attend-officer-huescas-funeral,2024-05-04,regular,
1173530782,20240503,DEU,,138,13,-7.0,-6.10859728506787,https://bianet.org/haber/gazeteci-celal-baslangic-hayatini-kaybetti-294898,2024-05-03,regular,
1173283107,20240502,USA,USA,173,17,-5.0,-6.94960212201591,https://www.frontpagemag.com/the-travesties-of-the-trump-trials/,2024-05-02,regular,
1173763161,20240504,,RUS,154,15,-7.2,-3.20924261874197,https://www.bankingnews.gr/diethni/articles/736076/to-nato-proetoimazetai-olotaxos-gia-polemo-me-ti-rosia-i-zakharova-mila-gia-poly-krisimes-ekselikseis,2024-05-04,regular,
1173175621,20240501,GBR,,173,17,-5.0,3.51648351648352,https://www.express.co.uk/travel/uk/1894508/Scottish-attraction-most-Instagrammable,2024-05-01,regular,
1173264225,20240502,USA,,100,10,-5.0,-7.01219512195122,https://www.nbcnews.com/news/latino/georgia-governor-signs-immigration-bill-months-uga-slaying-worrying-la-rcna150301,2024-05-02,regular,
1173675659,20240503,GBR,USA,160,16,-4.0,2.10896309314587,https://www.dailyrecord.co.uk/lifestyle/amazon-shoppers-hail-ultimate-travel-32732802,2024-05-03,regular,
1173021980,20240430,USA,,141,14,-6.5,-7.21680580128122,https://www.yahoo.com/news/colleges-where-gaza-protests-taking-200612145.html,2024-04-30,regular,
1173857193,20240505,,USA,1383,13,-7.0,-8.01282051282051,https://www.ibtimes.com/nyc-synagogues-museum-receive-fake-bomb-threats-new-york-officials-confirm-3731269,2024-05-05,regular,
1173365501,20240502,USA,RUS,161,16,-4.0,0.34129692832765,https://www.pnp.ru/politics/v-mid-rf-obratili-vnimanie-na-metamorfozy-v-otnoshenii-bulgakova-na-ukraine.html,2024-05-02,regular,
1173086959,20240501,,USA,173,17,-5.0,-10.2272727272727,https://arabic.cnn.com/middle-east/article/2024/05/01/columbia-university-property-has-been-cleared-nypd-says,2024-05-01,regular,
1172617379,20240429,USA,,130,13,-4.4,-7.32506083780019,https://www.wpsdlocal6.com/news/at-least-4-killed-in-oklahoma-tornado-outbreak-as-threat-of-severe-storms-continues-from/article_cdf88b84-05b5-11ef-836e-13f2abdfb3e7.html,2024-04-29,regular,
1173825011,20240505,USA,,172,17,-5.0,-7.01754385964912,https://www.theroot.com/gov-ron-desantis-gave-black-people-another-reason-to-l-1851449513,2024-05-05,regular,
1172976559,20240430,USA,,172,17,-5.0,-3.40314136125654,https://www.breitbart.com/entertainment/2024/04/30/kamala-harris-niece-meena-uses-broadways-cabaret-to-push-abortion/,2024-04-30,regular,
1173145998,20240501,RUS,UKR,174,17,-5.0,-3.73831775700935,https://www.globalsecurity.org/wmd/library/news/ukraine/2024/04/ukraine-240430-ukraine-president01.htm,2024-05-01,regular,
1173727586,20240504,USA,PSE,1056,10,-5.0,-6.97674418604651,https://www.ktvb.com/article/news/local/pro-palestine-rally-downtown-boise-protesters-demand-cease-fire-gaza/277-47d13241-d121-42db-bb94-76d4ca9d9e48,2024-05-04,regular,
1173726929,20240504,,USA,172,17,-5.0,-2.70042194092827,https://www.reviewonline.com/news/local-news/2024/05/three-seek-regional-judges-seat/,2024-05-04,regular,
1172684909,20240429,,DEU,100,10,-5.0,-4.10094637223974,https://regnum.ru/news/3885449,2024-04-29,regular,
1173016457,20240430,,GBR,172,17,-5.0,-14.2011834319526,https://www.belfasttelegraph.co.uk/news/northern-ireland/murder-suspect-extradited-from-ni-to-romania-to-stand-trial/a440952019.html,2024-04-30,regular,
1173584877,20240503,RUS,CZE,130,13,-4.4,-12.7450980392157,https://lenta.ru/news/2024/05/03/finlyandiya-zaderzhala-treh-rossiyskih-studentov-iz-za-narusheniya-sanktsiy/,2024-05-03,regular,
1173082962,20240501,USA,PSE,173,17,-5.0,-8.39874411302983,https://timesofindia.indiatimes.com/world/us/pro-palestine-protest-live-updates-columbia-university-azadi-minouche-shafik-harvard-yale/liveblog/109738083.cms,2024-05-01,regular,
1173320162,20240502,EUR,ARE,100,10,-5.0,-7.17299578059072,https://www.euractiv.com/section/global-europe/news/us-issues-hundreds-of-sanctions-targeting-russia-takes-aim-at-chinese-companies/,2024-05-02,regular,
1173617668,20240503,,FRA,130,13,-4.4,-1.51515151515152,https://latamnews.lat/20240503/el-canciller-britanico-se-opone-a-la-idea-de-macron-de-enviar-tropas-a-ucrania-1150214122.html,2024-05-03,regular,
1173463419,20240502,USA,USA,100,10,-5.0,-1.50987224157955,https://nwlaborpress.org/2024/05/montessori-meltdown-portland-preschools-close-amid-union-push/,2024-05-02,regular,
1173259080,20240502,USA,USA,173,17,-5.0,-8.67224880382775,https://www.dailybreeze.com/2024/05/01/tick-tock-to-chaos-a-timeline-of-escalating-tensions-at-ucla/,2024-05-02,regular,
1173477997,20240503,USA,USA,173,17,-5.0,-3.10818888224746,https://www.dailybreeze.com/2024/05/02/with-commencement-nearing-usc-adjusts-campus-security-amid-protests/,2024-05-03,regular,
1173232996,20240501,GBR,,173,17,-5.0,-6.36070853462158,https://www.catholicnewsagency.com/news/257559/here-are-the-countries-that-rank-worst-in-the-world-in-religious-freedom,2024-05-01,regular,
1173781704,20240504,USA,,160,16,-4.0,-3.77604166666667,https://www.newsmax.com/us/james-clapper-john-brennan-intelligence/2024/05/04/id/1163475/,2024-05-04,regular,
1172664209,20240429,UKR,RUS,138,13,-7.0,-10.0449775112444,http://slguardian.org/with-navatny-dead-does-putin-have-any-red-lines/,2024-04-29,regular,
1173199260,20240501,,USA,141,14,-6.5,-10.4545454545454,https://www.novinky.cz/clanek/zahranicni-amerika-newyorska-policie-zadrzela-300-lidi-z-univerzitnich-demonstraci-40470024,2024-05-01,regular,
1173552092,20240503,RUS,,160,16,-4.0,-1.64728682170543,https://www.upi.com/Entertainment_News/Movies/2024/05/03/Anita-Pallenberg-Rolling-Stones-muse/3001714675441/,2024-05-03,regular,
1172644214,20240429,EUR,ISR,141,14,-6.5,-4.8582995951417,https://www.dawn.com/news/1829897/gaza-protests-against-israel-reach-europe,2024-04-29,regular,
