GLOBALEVENTID,SQLDATE,Actor1CountryCode,Actor2CountryCode,EventCode,EventRootCode,GoldsteinScale,AvgTone,SOURCEURL,date,sample_type,event_label
1002114865,20210902,,USA,130,13,-4.4,-1.52380952380952,https://www.chron.com/news/article/Hospital-costs-for-unvaccinated-over-2-months-may-16429483.php,2021-09-02,regular,
1002149847,20210902,,GBR,100,10,-5.0,-5.17830972154372,https://eturbonews.com/225563/ubers-hell-spyware-created-fake-lyft-riders-and-accessed-lyft-drivers-personal-information-is-uber-liable/,2021-09-02,regular,
1002325361,20210903,,USA,180,18,-9.0,-19.0839694656489,https://www.thewesterlysun.com/news/police-courts/police-logs-thursday-sept-2-2021/article_90f07d60-0c0b-11ec-a38c-cbf14b711fe2.html,2021-09-03,regular,
1002635433,20210905,USA,,180,18,-9.0,-2.71604938271605,https://www.columbiatribune.com/story/entertainment/books/2021/09/05/casey-ceps-furious-hours-one-read-brings-depth-true-crime-fascination-harper-lee-truman-capote/8213641002/,2021-09-05,regular,
1002612873,20210905,RUS,,173,17,-5.0,-5.0065963060686,https://riafan.ru/region/nnv/1516124-obvinyaemyi-v-pohishchenii-devushki-nizhegorodec-otkazalsya-davat-pokazaniya,2021-09-05,regular,
1002153506,20210902,USA,RUS,163,16,-8.0,-4.27170868347339,https://sputniknews.com/analysis/202109021083770241-why-are-eu--us-trying-to-throw-legitimacy-of-russias-legislative-elections-into-doubt/,2021-09-02,regular,
1002388961,20210903,,GBR,173,17,-5.0,-13.3620689655172,https://www.gaytimes.co.uk/life/preacher-who-attacked-gay-man-in-homophobic-rant-convicted-of-hate-crime/,2021-09-03,regular,
1002301790,20210903,,USA,173,17,-5.0,-8.59188544152745,https://wbsm.com/fall-river-shooting-suspect-released-jail/,2021-09-03,regular,
1001970609,20210901,USA,,100,10,-5.0,-2.34791889007471,https://freerepublic.com/tag/*/index?more=3990870,2021-09-01,regular,
1002393256,20210903,RUS,,173,17,-5.0,-8.13397129186608,https://www.rferl.org/a/navalny-donates-prize-money/31442245.html,2021-09-03,regular,
