GLOBALEVENTID,SQLDATE,Actor1CountryCode,Actor2CountryCode,EventCode,EventRootCode,GoldsteinScale,AvgTone,SOURCEURL,date,sample_type,event_label
1222009913,20250121,USA,PAN,173,17,-5.0,0.56657223796034,https://www.ertnews.gr/eidiseis/diethni/panamas-epistoli-ston-oie-meta-tis-apeiles-tou-tramp-gia-ti-dioryga/,2025-01-21,targeted,Trump inauguration
1221948018,20250121,,FRA,100,10,-5.0,-1.11731843575419,https://tn.com.ar/internacional/2025/01/21/la-salida-de-eeuu-del-acuerdo-de-paris-del-giro-con-venezuela-a-las-consecuencias-para-el-ambiente/,2025-01-21,targeted,Trump inauguration
1222326540,20250123,GBR,,138,13,-7.0,-3.86178861788618,https://www.thenational.scot/news/24879027.scotland-weather-john-swinney-chair-emergency-meeting/,2025-01-23,targeted,Trump inauguration
1221634811,20250120,GBR,,160,16,-4.0,-3.52564102564102,https://www.traveldailynews.com/aviation/balpa-secures-landmark-court-victory-against-ryanair-over-illegal-blacklisting-practices/,2025-01-20,targeted,Trump inauguration
1221689429,20250120,GBR,,172,17,-5.0,-0.35140562248996,https://www.salon.com/2025/01/20/paddington-is-10-years-old-but-the-bears-lessons-of-kindness-and-curiosity-are-timeless/,2025-01-20,targeted,Trump inauguration
1222651985,20250125,,USA,172,17,-5.0,-1.05633802816901,https://www.hjnews.com/news/local/heres-whats-on-the-table-for-utahs-2025-legislative-session/article_39cfdb7e-d904-11ef-a590-775f7df50086.html,2025-01-25,targeted,Trump inauguration
1222023308,20250122,AFG,USA,173,17,-5.0,0.96339113680154,https://www.wgrz.com/article/news/local/wife-of-western-new-york-man-released-by-taliban-excited-for-his-return/71-13b8acdd-b752-478b-b771-d030449d984a,2025-01-22,targeted,Trump inauguration
1221799232,20250121,USA,,173,17,-5.0,-4.72049689440994,https://eagletimes.com/2025/01/21/claremont-man-arrested-for-coke-and-heroin-trafficking-in-springfield/,2025-01-21,targeted,Trump inauguration
1222726193,20250125,UKR,USA,162,16,-5.6,2.21238938053098,https://glavnoe.in.ua/news/zelenskyj-sprostuvav-prypynennya-vijskovoyi-dopomohy-vid-ssha-ukrayini,2025-01-25,targeted,Trump inauguration
1222158229,20250122,CHN,,172,17,-5.0,-2.20125786163522,https://www.nbcdfw.com/news/business/money-report/tiktok-is-back-and-its-harming-kids-at-an-industrial-scale-says-psychologist/3747663/,2025-01-22,targeted,Trump inauguration
1222610760,20250124,USA,,173,17,-5.0,-12.1495327102803,https://katu.com/news/local/two-suspects-linked-to-portland-burglary-ring-indicted-on-multiple-charges,2025-01-24,targeted,Trump inauguration
1222288185,20250123,USA,,172,17,-5.0,-1.31578947368421,https://www.naftemporiki.gr/kosmos/1891297/tramp-nea-senaria-gia-10-000-stratiotes-sta-synora-ton-ipa-me-to-mexiko-ti-anaferei-eggrafo-gia-to-metanasteytiko/,2025-01-23,targeted,Trump inauguration
1222048784,20250122,,USA,100,10,-5.0,-6.89655172413793,https://www.standard.co.uk/news/london/trains-cancelled-beckenham-junction-victoria-southeastern-tube-tfl-b1206282.html,2025-01-22,targeted,Trump inauguration
1221948097,20250121,JPN,USA,1723,17,-5.0,-2.19780219780219,https://www.cafe.se/svenska-sneakerjatten-faller-efter-26-ar/,2025-01-21,targeted,Trump inauguration
1222402566,20250123,USA,USA,173,17,-5.0,-8.33333333333333,https://www.kuow.org:443/stories/ex-auburn-cop-sentenced-to-years-in-prison-for-murder-of-jessey-sarey,2025-01-23,targeted,Trump inauguration
1222229524,20250123,,USA,173,17,-5.0,-4.496253122398,https://www.woonsocketcall.com/news/national_and_world_news/ap-news-summary-at-9-37-p-m-est/article_265270a2-b73f-58fc-bf9f-c43d37faa7b1.html,2025-01-23,targeted,Trump inauguration
1221814070,20250121,USA,,173,17,-5.0,7.10526315789473,https://www.oneindia.com/international/donald-melania-trump-command-attention-at-commander-in-chief-inaugural-ball-with-elegant-dance-4048423.html,2025-01-21,targeted,Trump inauguration
1222192212,20250122,USA,USA,173,17,-5.0,-7.73809523809523,https://foxbaltimore.com/newsletter-daily/sun-maryland-senators-aide-charged-with-bilking-scholarship-funds-state-prosecutor-says,2025-01-22,targeted,Trump inauguration
1221967240,20250121,USA,USA,172,17,-5.0,-7.17488789237668,https://klewtv.com/news/local/idaho-legislator-proposes-bill-to-ban-mask-mandates-statewide,2025-01-21,targeted,Trump inauguration
1222889750,20250126,USA,,1821,18,-9.0,-4.42477876106194,https://www.shockya.com/news/2025/01/26/trump-restores-single-sex-prisons-executive-order-sparks-debate-over-safety-and-rights/,2025-01-26,targeted,Trump inauguration
1222894049,20250126,,USA,100,10,-5.0,-5.35714285714285,https://life.ru/p/1722468,2025-01-26,targeted,Trump inauguration
1222564563,20250124,USA,,1014,10,-5.0,-7.35294117647058,https://grenadachronicle.com/why-is-trump-releasing-the-last-files-on-jfk-rfl-mlk-assassinations/,2025-01-24,targeted,Trump inauguration
1222703015,20250125,RUS,,172,17,-5.0,-2.08333333333333,https://rv-ryazan.ru/v-ryazani-s-nachala-goda-bolee-sta-chelovek-oshtrafovali-za-nezakonnuyu-torgovlyu/,2025-01-25,targeted,Trump inauguration
